feature,importance,fold
PREV_APP_CREDIT_PERC_MEAN,1396,3
PREV_APP_CREDIT_PERC_VAR,1918,3
PREV_HOUR_APPR_PROCESS_START_MEAN,1671,3
PREV_RATE_DOWN_PAYMENT_MEAN,1039,3
PREV_DAYS_DECISION_MAX,1585,3
PREV_DAYS_DECISION_MEAN,1345,3
PREV_CNT_PAYMENT_MEAN,1471,3
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,1155,3
PREV_NAME_TYPE_SUITE_nan_MEAN,1057,3
PREV_NAME_YIELD_GROUP_middle_MEAN,1166,3
APPROVED_AMT_ANNUITY_MIN,1261,3
APPROVED_AMT_ANNUITY_MAX,979,3
APPROVED_AMT_ANNUITY_MEAN,1197,3
APPROVED_AMT_CREDIT_MIN,1112,3
APPROVED_APP_CREDIT_PERC_MIN,1071,3
APPROVED_APP_CREDIT_PERC_MEAN,1345,3
APPROVED_APP_CREDIT_PERC_VAR,1860,3
APPROVED_HOUR_APPR_PROCESS_START_MEAN,1301,3
APPROVED_DAYS_DECISION_MAX,2025,3
APPROVED_DAYS_DECISION_MEAN,1203,3
APPROVED_CNT_PAYMENT_MEAN,1191,3
POS_MONTHS_BALANCE_MEAN,1462,3
POS_MONTHS_BALANCE_SIZE,1304,3
POS_NAME_CONTRACT_STATUS_Active_MEAN,1664,3
POS_NAME_CONTRACT_STATUS_Completed_MEAN,1553,3
INSTAL_DPD_MEAN,1360,3
INSTAL_DBD_MAX,1987,3
INSTAL_DBD_MEAN,2445,3
INSTAL_DBD_SUM,1709,3
INSTAL_PAYMENT_PERC_VAR,1022,3
INSTAL_AMT_INSTALMENT_MAX,1059,3
INSTAL_AMT_INSTALMENT_MEAN,1174,3
INSTAL_AMT_PAYMENT_MIN,1914,3
INSTAL_AMT_PAYMENT_MAX,1039,3
INSTAL_AMT_PAYMENT_MEAN,1500,3
INSTAL_AMT_PAYMENT_SUM,1207,3
INSTAL_DAYS_ENTRY_PAYMENT_MAX,2051,3
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,1391,3
INSTAL_DAYS_ENTRY_PAYMENT_SUM,1378,3
AMT_INCOME_TOTAL,1301,4
AMT_CREDIT,1797,4
AMT_ANNUITY,2377,4
AMT_GOODS_PRICE,1679,4
REGION_POPULATION_RELATIVE,2161,4
DAYS_BIRTH,3234,4
DAYS_EMPLOYED,3060,4
DAYS_REGISTRATION,2809,4
DAYS_ID_PUBLISH,2924,4
OWN_CAR_AGE,1253,4
HOUR_APPR_PROCESS_START,1112,4
EXT_SOURCE_1,3060,4
EXT_SOURCE_2,3848,4
EXT_SOURCE_3,3891,4
TOTALAREA_MODE,1032,4
DAYS_LAST_PHONE_CHANGE,2245,4
DAYS_EMPLOYED_PERC,2951,4
INCOME_CREDIT_PERC,2060,4
INCOME_PER_PERSON,1786,4
ANNUITY_INCOME_PERC,2525,4
PAYMENT_RATE,3927,4
BURO_DAYS_CREDIT_MIN,1110,4
BURO_DAYS_CREDIT_MAX,1566,4
BURO_DAYS_CREDIT_MEAN,1450,4
BURO_DAYS_CREDIT_VAR,1923,4
BURO_DAYS_CREDIT_ENDDATE_MIN,1092,4
BURO_DAYS_CREDIT_ENDDATE_MAX,1367,4
BURO_DAYS_CREDIT_ENDDATE_MEAN,1596,4
BURO_DAYS_CREDIT_UPDATE_MEAN,1540,4
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,1633,4
BURO_AMT_CREDIT_SUM_MAX,1235,4
BURO_AMT_CREDIT_SUM_MEAN,1542,4
BURO_AMT_CREDIT_SUM_SUM,1525,4
BURO_AMT_CREDIT_SUM_DEBT_MEAN,1293,4
ACTIVE_DAYS_CREDIT_MIN,1312,4
ACTIVE_DAYS_CREDIT_MAX,1718,4
ACTIVE_DAYS_CREDIT_MEAN,1423,4
ACTIVE_DAYS_CREDIT_VAR,1648,4
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,2021,4
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,1457,4
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,1712,4
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,2122,4
ACTIVE_AMT_CREDIT_SUM_MAX,1072,4
ACTIVE_AMT_CREDIT_SUM_MEAN,1369,4
ACTIVE_AMT_CREDIT_SUM_SUM,1327,4
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,1541,4
CLOSED_DAYS_CREDIT_MIN,1105,4
CLOSED_DAYS_CREDIT_MAX,2013,4
CLOSED_DAYS_CREDIT_MEAN,1174,4
CLOSED_DAYS_CREDIT_VAR,1669,4
CLOSED_DAYS_CREDIT_ENDDATE_MIN,1045,4
CLOSED_DAYS_CREDIT_ENDDATE_MAX,1906,4
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,1300,4
CLOSED_DAYS_CREDIT_UPDATE_MEAN,1683,4
CLOSED_AMT_CREDIT_SUM_MAX,1276,4
CLOSED_AMT_CREDIT_SUM_MEAN,1725,4
CLOSED_AMT_CREDIT_SUM_SUM,1455,4
PREV_AMT_ANNUITY_MIN,1286,4
PREV_AMT_ANNUITY_MEAN,1220,4
PREV_AMT_CREDIT_MEAN,1143,4
PREV_APP_CREDIT_PERC_MIN,1027,4
PREV_APP_CREDIT_PERC_MEAN,1371,4
PREV_APP_CREDIT_PERC_VAR,1942,4
PREV_HOUR_APPR_PROCESS_START_MEAN,1489,4
PREV_RATE_DOWN_PAYMENT_MEAN,1101,4
PREV_DAYS_DECISION_MAX,1827,4
PREV_DAYS_DECISION_MEAN,1284,4
PREV_CNT_PAYMENT_MEAN,1458,4
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,1137,4
